achievement_id,group_id,name,tier,tier_name,category,rarity,rule_type,rule_filter,target,display_order,xp_reward,description,evidence_hint,is_hidden,hint,auto_grant,ui_badge_style,icon_path,icon_url
ACH_DURATION_T5,ACH_DURATION,누적 시간 V,5,Diamond,지속성,mythic,sum_duration,"{""event_type"": ""SESSION""}",18000,2,780,누적 시간 V - 누적 연습 18000분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_DURATION_T6,ACH_DURATION,누적 시간 VI,6,Master,지속성,mythic,sum_duration,"{""event_type"": ""SESSION""}",36000,2,1100,누적 시간 VI - 누적 연습 36000분 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_XP_T1,ACH_XP,XP 축적 I,1,Bronze,성장,common,sum_xp,"{""all_events"": true}",2000,3,150,XP 축적 I - 누적 XP 2000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_XP_T2,ACH_XP,XP 축적 II,2,Silver,성장,rare,sum_xp,"{""all_events"": true}",8000,3,280,XP 축적 II - 누적 XP 8000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_XP_T3,ACH_XP,XP 축적 III,3,Gold,성장,epic,sum_xp,"{""all_events"": true}",20000,3,430,XP 축적 III - 누적 XP 20000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_XP_T4,ACH_XP,XP 축적 IV,4,Platinum,성장,legendary,sum_xp,"{""all_events"": true}",50000,3,620,XP 축적 IV - 누적 XP 50000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_XP_T5,ACH_XP,XP 축적 V,5,Diamond,성장,mythic,sum_xp,"{""all_events"": true}",120000,3,900,XP 축적 V - 누적 XP 120000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_XP_T6,ACH_XP,XP 축적 VI,6,Master,성장,mythic,sum_xp,"{""all_events"": true}",250000,3,1300,XP 축적 VI - 누적 XP 250000 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_LEVEL_T1,ACH_LEVEL,레벨 등반 I,1,Bronze,레벨,common,level_reach,{},8,4,180,레벨 등반 I - 레벨 8 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_LEVEL_T2,ACH_LEVEL,레벨 등반 II,2,Silver,레벨,rare,level_reach,{},15,4,300,레벨 등반 II - 레벨 15 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_LEVEL_T3,ACH_LEVEL,레벨 등반 III,3,Gold,레벨,epic,level_reach,{},25,4,460,레벨 등반 III - 레벨 25 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_LEVEL_T4,ACH_LEVEL,레벨 등반 IV,4,Platinum,레벨,legendary,level_reach,{},35,4,680,레벨 등반 IV - 레벨 35 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_LEVEL_T5,ACH_LEVEL,레벨 등반 V,5,Diamond,레벨,mythic,level_reach,{},45,4,950,레벨 등반 V - 레벨 45 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_LEVEL_T6,ACH_LEVEL,레벨 등반 VI,6,Master,레벨,mythic,level_reach,{},50,4,1400,레벨 등반 VI - 레벨 50 도달,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_SONG_T1,ACH_SONG,곡 루틴 I,1,Bronze,곡,common,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",8,5,130,곡 루틴 I - 조건 8회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_SONG_T2,ACH_SONG,곡 루틴 II,2,Silver,곡,rare,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",25,5,240,곡 루틴 II - 조건 25회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_SONG_T3,ACH_SONG,곡 루틴 III,3,Gold,곡,epic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",70,5,380,곡 루틴 III - 조건 70회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_SONG_T4,ACH_SONG,곡 루틴 IV,4,Platinum,곡,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",160,5,560,곡 루틴 IV - 조건 160회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_SONG_T5,ACH_SONG,곡 루틴 V,5,Diamond,곡,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",320,5,800,곡 루틴 V - 조건 320회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_SONG_T6,ACH_SONG,곡 루틴 VI,6,Master,곡,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""SONG_PRACTICE""]}",600,5,1150,곡 루틴 VI - 조건 600회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_DRILL_T1,ACH_DRILL,드릴 루틴 I,1,Bronze,드릴,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",12,6,130,드릴 루틴 I - 조건 12회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_DRILL_T2,ACH_DRILL,드릴 루틴 II,2,Silver,드릴,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",40,6,250,드릴 루틴 II - 조건 40회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_DRILL_T3,ACH_DRILL,드릴 루틴 III,3,Gold,드릴,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",110,6,390,드릴 루틴 III - 조건 110회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_DRILL_T4,ACH_DRILL,드릴 루틴 IV,4,Platinum,드릴,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",240,6,580,드릴 루틴 IV - 조건 240회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_DRILL_T5,ACH_DRILL,드릴 루틴 V,5,Diamond,드릴,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",480,6,830,드릴 루틴 V - 조건 480회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_DRILL_T6,ACH_DRILL,드릴 루틴 VI,6,Master,드릴,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE"", ""FUNK"", ""SLAP"", ""THEORY""]}",900,6,1180,드릴 루틴 VI - 조건 900회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_SCOLLECT_T1,ACH_SCOLLECT,레퍼토리 수집 I,1,Bronze,컬렉션,common,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",4,7,140,레퍼토리 수집 I - 다른 항목 4개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_SCOLLECT_T2,ACH_SCOLLECT,레퍼토리 수집 II,2,Silver,컬렉션,rare,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",10,7,260,레퍼토리 수집 II - 다른 항목 10개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_SCOLLECT_T3,ACH_SCOLLECT,레퍼토리 수집 III,3,Gold,컬렉션,epic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",20,7,400,레퍼토리 수집 III - 다른 항목 20개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_SCOLLECT_T4,ACH_SCOLLECT,레퍼토리 수집 IV,4,Platinum,컬렉션,legendary,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",35,7,600,레퍼토리 수집 IV - 다른 항목 35개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_SCOLLECT_T5,ACH_SCOLLECT,레퍼토리 수집 V,5,Diamond,컬렉션,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",55,7,860,레퍼토리 수집 V - 다른 항목 55개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_SCOLLECT_T6,ACH_SCOLLECT,레퍼토리 수집 VI,6,Master,컬렉션,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",80,7,1220,레퍼토리 수집 VI - 다른 항목 80개 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_RECORD_T1,ACH_RECORD,아카이브 I,1,Bronze,기록,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",3,8,120,아카이브 I - 조건 3회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_RECORD_T2,ACH_RECORD,아카이브 II,2,Silver,기록,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",10,8,220,아카이브 II - 조건 10회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_RECORD_T3,ACH_RECORD,아카이브 III,3,Gold,기록,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",25,8,350,아카이브 III - 조건 25회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_RECORD_T4,ACH_RECORD,아카이브 IV,4,Platinum,기록,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",50,8,510,아카이브 IV - 조건 50회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_RECORD_T5,ACH_RECORD,아카이브 V,5,Diamond,기록,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",90,8,740,아카이브 V - 조건 90회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_RECORD_T6,ACH_RECORD,아카이브 VI,6,Master,기록,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""RECORDING_AUDIO"", ""RECORDING_VIDEO""]}",150,8,1040,아카이브 VI - 조건 150회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_CORE_STREAK_T1,ACH_CORE_STREAK,코어 연속 루틴 I,1,Bronze,연속성,common,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",2,9,170,코어 연속 루틴 I - 주간 연속 2주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_CORE_STREAK_T2,ACH_CORE_STREAK,코어 연속 루틴 II,2,Silver,연속성,rare,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",4,9,300,코어 연속 루틴 II - 주간 연속 4주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_CORE_STREAK_T3,ACH_CORE_STREAK,코어 연속 루틴 III,3,Gold,연속성,epic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",6,9,460,코어 연속 루틴 III - 주간 연속 6주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_CORE_STREAK_T4,ACH_CORE_STREAK,코어 연속 루틴 IV,4,Platinum,연속성,legendary,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",8,9,680,코어 연속 루틴 IV - 주간 연속 8주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_CORE_STREAK_T5,ACH_CORE_STREAK,코어 연속 루틴 V,5,Diamond,연속성,mythic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",12,9,980,코어 연속 루틴 V - 주간 연속 12주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_CORE_STREAK_T6,ACH_CORE_STREAK,코어 연속 루틴 VI,6,Master,연속성,mythic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",16,9,1320,코어 연속 루틴 VI - 주간 연속 16주 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_MONTHLY_STREAK_T1,ACH_MONTHLY_STREAK,월간 페이스 I,1,Bronze,연속성,common,streak_monthly,"{""min_sessions_per_month"": 8}",2,10,180,월간 페이스 I - 월간 연속 2개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_MONTHLY_STREAK_T2,ACH_MONTHLY_STREAK,월간 페이스 II,2,Silver,연속성,rare,streak_monthly,"{""min_sessions_per_month"": 8}",4,10,320,월간 페이스 II - 월간 연속 4개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_MONTHLY_STREAK_T3,ACH_MONTHLY_STREAK,월간 페이스 III,3,Gold,연속성,epic,streak_monthly,"{""min_sessions_per_month"": 8}",6,10,490,월간 페이스 III - 월간 연속 6개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_MONTHLY_STREAK_T4,ACH_MONTHLY_STREAK,월간 페이스 IV,4,Platinum,연속성,legendary,streak_monthly,"{""min_sessions_per_month"": 8}",9,10,710,월간 페이스 IV - 월간 연속 9개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_MONTHLY_STREAK_T5,ACH_MONTHLY_STREAK,월간 페이스 V,5,Diamond,연속성,mythic,streak_monthly,"{""min_sessions_per_month"": 8}",12,10,990,월간 페이스 V - 월간 연속 12개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_MONTHLY_STREAK_T6,ACH_MONTHLY_STREAK,월간 페이스 VI,6,Master,연속성,mythic,streak_monthly,"{""min_sessions_per_month"": 8}",18,10,1360,월간 페이스 VI - 월간 연속 18개월 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_BAND_STAGE_T1,ACH_BAND_STAGE,합주/무대 루틴 I,1,Bronze,실전,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",2,13,180,합주/무대 루틴 I - 조건 2회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_BAND_STAGE_T2,ACH_BAND_STAGE,합주/무대 루틴 II,2,Silver,실전,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",6,13,300,합주/무대 루틴 II - 조건 6회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_BAND_STAGE_T3,ACH_BAND_STAGE,합주/무대 루틴 III,3,Gold,실전,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",14,13,450,합주/무대 루틴 III - 조건 14회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_BAND_STAGE_T4,ACH_BAND_STAGE,합주/무대 루틴 IV,4,Platinum,실전,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",30,13,650,합주/무대 루틴 IV - 조건 30회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_BAND_STAGE_T5,ACH_BAND_STAGE,합주/무대 루틴 V,5,Diamond,실전,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",60,13,900,합주/무대 루틴 V - 조건 60회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_BAND_STAGE_T6,ACH_BAND_STAGE,합주/무대 루틴 VI,6,Master,실전,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""BAND"", ""PERFORMANCE""], ""min_duration"": 20}",100,13,1250,합주/무대 루틴 VI - 조건 100회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_COMMUNITY_T1,ACH_COMMUNITY,커뮤니티 챌린지 I,1,Bronze,커뮤니티,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",2,14,160,커뮤니티 챌린지 I - 조건 2회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_COMMUNITY_T2,ACH_COMMUNITY,커뮤니티 챌린지 II,2,Silver,커뮤니티,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",6,14,280,커뮤니티 챌린지 II - 조건 6회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_COMMUNITY_T3,ACH_COMMUNITY,커뮤니티 챌린지 III,3,Gold,커뮤니티,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",14,14,420,커뮤니티 챌린지 III - 조건 14회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_COMMUNITY_T4,ACH_COMMUNITY,커뮤니티 챌린지 IV,4,Platinum,커뮤니티,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",28,14,620,커뮤니티 챌린지 IV - 조건 28회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_COMMUNITY_T5,ACH_COMMUNITY,커뮤니티 챌린지 V,5,Diamond,커뮤니티,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",48,14,870,커뮤니티 챌린지 V - 조건 48회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_COMMUNITY_T6,ACH_COMMUNITY,커뮤니티 챌린지 VI,6,Master,커뮤니티,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""COMMUNITY""]}",80,14,1200,커뮤니티 챌린지 VI - 조건 80회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_THEORY_T1,ACH_THEORY,이론 탐구 I,1,Bronze,이론,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",6,15,140,이론 탐구 I - 조건 6회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_THEORY_T2,ACH_THEORY,이론 탐구 II,2,Silver,이론,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",18,15,250,이론 탐구 II - 조건 18회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_THEORY_T3,ACH_THEORY,이론 탐구 III,3,Gold,이론,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",45,15,390,이론 탐구 III - 조건 45회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_THEORY_T4,ACH_THEORY,이론 탐구 IV,4,Platinum,이론,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",90,15,580,이론 탐구 IV - 조건 90회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_THEORY_T5,ACH_THEORY,이론 탐구 V,5,Diamond,이론,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",160,15,820,이론 탐구 V - 조건 160회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_THEORY_T6,ACH_THEORY,이론 탐구 VI,6,Master,이론,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""THEORY"", ""EAR_COPY""]}",260,15,1140,이론 탐구 VI - 조건 260회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_SLAP_T1,ACH_SLAP,슬랩 마스터리 I,1,Bronze,테크닉,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",6,16,150,슬랩 마스터리 I - 조건 6회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_SLAP_T2,ACH_SLAP,슬랩 마스터리 II,2,Silver,테크닉,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",18,16,270,슬랩 마스터리 II - 조건 18회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_SLAP_T3,ACH_SLAP,슬랩 마스터리 III,3,Gold,테크닉,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",45,16,410,슬랩 마스터리 III - 조건 45회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_SLAP_T4,ACH_SLAP,슬랩 마스터리 IV,4,Platinum,테크닉,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",90,16,600,슬랩 마스터리 IV - 조건 90회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_SLAP_T5,ACH_SLAP,슬랩 마스터리 V,5,Diamond,테크닉,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",170,16,840,슬랩 마스터리 V - 조건 170회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_SLAP_T6,ACH_SLAP,슬랩 마스터리 VI,6,Master,테크닉,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",280,16,1170,슬랩 마스터리 VI - 조건 280회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_MUTE_METRO_T1,ACH_MUTE_METRO,뮤트 메트로놈 I,1,Bronze,테크닉,common,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",2,17,170,뮤트 메트로놈 I - 조건 2회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
ACH_MUTE_METRO_T2,ACH_MUTE_METRO,뮤트 메트로놈 II,2,Silver,테크닉,rare,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",6,17,290,뮤트 메트로놈 II - 조건 6회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,silver,,
ACH_MUTE_METRO_T3,ACH_MUTE_METRO,뮤트 메트로놈 III,3,Gold,테크닉,epic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",14,17,430,뮤트 메트로놈 III - 조건 14회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,gold,,
ACH_MUTE_METRO_T4,ACH_MUTE_METRO,뮤트 메트로놈 IV,4,Platinum,테크닉,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",30,17,620,뮤트 메트로놈 IV - 조건 30회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,platinum,,
ACH_MUTE_METRO_T5,ACH_MUTE_METRO,뮤트 메트로놈 V,5,Diamond,테크닉,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",55,17,880,뮤트 메트로놈 V - 조건 55회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,diamond,,
ACH_MUTE_METRO_T6,ACH_MUTE_METRO,뮤트 메트로놈 VI,6,Master,테크닉,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""CLEAN_MUTE"", ""METRO_24""]}",90,17,1220,뮤트 메트로놈 VI - 조건 90회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,master,,
ACH_AB_ARCHIVE_T1,ACH_AB_ARCHIVE,A/B 아카이브 I,1,Bronze,기록,common,count_events,"{""event_type"": ""SESSION"", ""tags_all"": [""AB_COMPARE"", ""RECORDING_AUDIO""]}",2,18,180,A/B 아카이브 I - 조건 2회 달성,세션/이벤트 로그에서 자동 집계됩니다.,false,,false,bronze,,
