event_id,created_at,start_at,end_at,duration_min,event_type,activity,xp,title,notes,song_library_id,drill_id,quest_id,achievement_id,tags,evidence_type,evidence_path,evidence_url,meta_json,source
EVT_7ee45df6c5e9,2026-03-01T14:45:35,,,0,ACHIEVEMENT_CLAIM,,180,Achievement: XP 예금 시작,Auto granted (2628/2500),,,,ACH_TOTALXP_T1,ACHIEVEMENT;성장,,,,"{""auto"": true, ""progress"": 2628, ""target"": 2500, ""raw_reward"": 180}",system
EVT_2e80bfe61c4e,2026-03-01T14:45:35,,,0,ACHIEVEMENT_CLAIM,,200,Achievement: 레벨 5 돌파,Auto granted (5/5),,,,ACH_LEVEL_T1,ACHIEVEMENT;성장,,,,"{""auto"": true, ""progress"": 5, ""target"": 5, ""raw_reward"": 200}",system
EVT_cf08bad20bb8,2026-03-01T14:47:50,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772344070844,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_79935b2723aa,2026-03-01T14:49:13,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772344153439,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_72d4e5616df0,2026-03-01T14:49:13,,,0,ACHIEVEMENT_CLAIM,,120,Achievement: 10분 루틴 착수,Auto granted (20/20),,,,ACH_SESSION_T1,ACHIEVEMENT;루틴,,,,"{""auto"": true, ""progress"": 20, ""target"": 20, ""raw_reward"": 120}",system
EVT_9aecd59d9e7b,2026-03-01T15:22:58,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772346178715,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_a60ef666fc89,2026-03-01T15:29:44,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772346584632,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_0e749bd89579,2026-03-01T15:29:44,,,0,ACHIEVEMENT_CLAIM,,150,Achievement: 베이스 시동 걸기,Auto granted (600/600),,,,ACH_DURATION_T1,ACHIEVEMENT;성장,,,,"{""auto"": true, ""progress"": 600, ""target"": 600, ""raw_reward"": 150}",system
EVT_2fb293135546,2026-03-01T15:52:05,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,64,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772347925918,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 0}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_a94a9771874c,2026-03-01T16:36:29,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,36,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772350589709,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 64, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 64, ""daily_cap_reduced"": 28}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_0978b7127d78,2026-03-01T16:57:47,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,0,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772351867500,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 40, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 40, ""daily_cap_reduced"": 40}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_8ab1300bd1fe,2026-03-01T16:58:57,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,0,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772351937007,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 40, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 40, ""daily_cap_reduced"": 40}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_213d60b0842f,2026-03-01T17:02:12,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,0,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772352132716,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 40, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 40, ""daily_cap_reduced"": 40}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_7078fd661cac,2026-03-01T18:50:24,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,0,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772358624659,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 34, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 34, ""daily_cap_reduced"": 34}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
EVT_2b439d7fcd38,2026-03-01T19:20:32,2026-02-10T09:00:00,2026-02-10T09:10:00,10,SESSION,Song,0,Session - Song/SongPractice,MOCK_PROFILE_NOTE_1772360432541,,,,,E2E;MOCK;QUICK;SONG;SONG_PRACTICE,,,,"{""xp_breakdown"": {""base_xp"": 34, ""bonus_xp"": 0, ""bonus_breakdown"": {}, ""pre_cap_total_xp"": 34, ""daily_cap_reduced"": 34}, ""is_backfill"": false, ""is_quick_log"": true, ""sub_activity"": ""SongPractice"", ""song_speed"": {}, ""drill_bpm"": {}, ""feelings"": []}",app
