event_id,created_at,start_at,end_at,duration_min,event_type,activity,xp,title,notes,song_library_id,drill_id,quest_id,achievement_id,tags,evidence_type,evidence_path,evidence_url,meta_json,source
EVT_dc94523c0886,2026-01-20T21:04:00,2026-01-20T20:40:00,2026-01-20T21:04:00,24,SESSION,DrillPractice,1296,Mock Session 2026-01-20,Auto-generated 60-day sandbox history,,D011,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_29b99b70f2fd,2026-01-22T22:06:00,2026-01-22T21:26:00,2026-01-22T22:06:00,40,SESSION,DrillPractice,1845,Mock Session 2026-01-22,Auto-generated 60-day sandbox history,,D009,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_690a97a78b5d,2026-01-24T19:36:00,2026-01-24T19:12:00,2026-01-24T19:36:00,24,SESSION,DrillPractice,1351,Mock Session 2026-01-24,Auto-generated 60-day sandbox history,,D007,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_d9705e9ec730,2026-01-25T21:53:00,2026-01-25T21:05:00,2026-01-25T21:53:00,48,SESSION,DrillPractice,1872,Mock Session 2026-01-25,Auto-generated 60-day sandbox history,,D006,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_6d44e5090bc3,2026-01-26T21:38:00,2026-01-26T20:58:00,2026-01-26T21:38:00,40,SESSION,DrillPractice,1900,Mock Session 2026-01-26,Auto-generated 60-day sandbox history,,D005,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_8228f5fa8cd4,2026-01-28T22:08:00,2026-01-28T21:44:00,2026-01-28T22:08:00,24,SESSION,DrillPractice,1406,Mock Session 2026-01-28,Auto-generated 60-day sandbox history,,D003,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_961ef0161eb0,2026-01-30T20:10:00,2026-01-30T19:30:00,2026-01-30T20:10:00,40,SESSION,DrillPractice,1680,Mock Session 2026-01-30,Auto-generated 60-day sandbox history,,D001,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_8037cac509f3,2026-02-01T20:40:00,2026-02-01T20:16:00,2026-02-01T20:40:00,24,SESSION,DrillPractice,1461,Mock Session 2026-02-01,Auto-generated 60-day sandbox history,,D014,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_5f44b57af112,2026-02-03T21:42:00,2026-02-03T21:02:00,2026-02-03T21:42:00,40,SESSION,DrillPractice,1735,Mock Session 2026-02-03,Auto-generated 60-day sandbox history,,D012,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_f50d5a683b87,2026-02-04T21:27:00,2026-02-04T20:55:00,2026-02-04T21:27:00,32,SESSION,DrillPractice,1488,Mock Session 2026-02-04,Auto-generated 60-day sandbox history,,D011,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_3fbc850411b3,2026-02-05T20:12:00,2026-02-05T19:48:00,2026-02-05T20:12:00,24,SESSION,DrillPractice,1516,Mock Session 2026-02-05,Auto-generated 60-day sandbox history,,D010,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_ea7271b0e27a,2026-02-07T21:14:00,2026-02-07T20:34:00,2026-02-07T21:14:00,40,SESSION,DrillPractice,1790,Mock Session 2026-02-07,Auto-generated 60-day sandbox history,,D008,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_8a2e434e69e6,2026-02-09T21:44:00,2026-02-09T21:20:00,2026-02-09T21:44:00,24,SESSION,DrillPractice,1296,Mock Session 2026-02-09,Auto-generated 60-day sandbox history,,D006,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_1df87ef7e5de,2026-02-11T19:46:00,2026-02-11T19:06:00,2026-02-11T19:46:00,40,SESSION,DrillPractice,1845,Mock Session 2026-02-11,Auto-generated 60-day sandbox history,,D004,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_7dcd0d81ce4b,2026-02-13T21:16:00,2026-02-13T20:52:00,2026-02-13T21:16:00,24,SESSION,DrillPractice,1351,Mock Session 2026-02-13,Auto-generated 60-day sandbox history,,D002,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_39c25ae03843,2026-02-14T20:33:00,2026-02-14T19:45:00,2026-02-14T20:33:00,48,SESSION,DrillPractice,1872,Mock Session 2026-02-14,Auto-generated 60-day sandbox history,,D001,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_604d4a07cc14,2026-02-15T22:18:00,2026-02-15T21:38:00,2026-02-15T22:18:00,40,SESSION,DrillPractice,1900,Mock Session 2026-02-15,Auto-generated 60-day sandbox history,,D015,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_1dc74bd2f264,2026-02-17T19:48:00,2026-02-17T19:24:00,2026-02-17T19:48:00,24,SESSION,DrillPractice,1406,Mock Session 2026-02-17,Auto-generated 60-day sandbox history,,D013,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_ae8bac61a8d1,2026-02-19T20:50:00,2026-02-19T20:10:00,2026-02-19T20:50:00,40,SESSION,DrillPractice,1680,Mock Session 2026-02-19,Auto-generated 60-day sandbox history,,D011,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_38b16c4f8e63,2026-02-21T22:20:00,2026-02-21T21:56:00,2026-02-21T22:20:00,24,SESSION,DrillPractice,1461,Mock Session 2026-02-21,Auto-generated 60-day sandbox history,,D009,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_71e838330313,2026-02-23T20:22:00,2026-02-23T19:42:00,2026-02-23T20:22:00,40,SESSION,DrillPractice,1735,Mock Session 2026-02-23,Auto-generated 60-day sandbox history,,D007,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_adf6d048b1f0,2026-02-24T22:07:00,2026-02-24T21:35:00,2026-02-24T22:07:00,32,SESSION,DrillPractice,1488,Mock Session 2026-02-24,Auto-generated 60-day sandbox history,,D006,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_9d38520395ce,2026-02-25T20:52:00,2026-02-25T20:28:00,2026-02-25T20:52:00,24,SESSION,DrillPractice,1516,Mock Session 2026-02-25,Auto-generated 60-day sandbox history,,D005,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_f0666f577ea3,2026-02-27T21:54:00,2026-02-27T21:14:00,2026-02-27T21:54:00,40,SESSION,DrillPractice,1790,Mock Session 2026-02-27,Auto-generated 60-day sandbox history,,D003,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
EVT_7a0131b901b4,2026-03-01T19:24:00,2026-03-01T19:00:00,2026-03-01T19:24:00,24,SESSION,DrillPractice,1296,Mock Session 2026-03-01,Auto-generated 60-day sandbox history,,D001,,,DRILL;EXPORT;MOCK;SESSION,,,,{},mock-export
